id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
23673412,79731,0,1,0,Colonia Cuauhtémoc,Cuauhtémoc,6500,19.43211,-99.16674,4,2,2,2,1385,0,200,2,200,5,1/5/19,7/7/19,96,1,1,0,0,0,0,1,1,1,1,0,0,0,2.49697119,1,7.233455419,Monumento a los Héroes de la Independencia,0.572497065,Insurgentes_1_5,1.014321877
23675458,79757,1,1,1,Roma Norte,Cuauhtémoc,6700,19.42193,-99.15518,3,1,1,1,1062,3794,398,2,285,15,19/3/18,8/7/19,95,0,0,0,0,0,0,1,1,1,1,0,0,0,15.9017639,1,6.967909202,Arena México,0.482521897,Cuauhtémoc_1_2,0.419663491
23680834,79791,0,6,1,Colonia Cuauhtémoc,Cuauhtémoc,6500,19.43192,-99.17074,4,2,2,2,759,0,0,1,250,33,28/3/18,24/4/19,96,1,1,1,0,0,0,0,1,1,1,0,0,0,15.60606994,1,6.632001777,Monumento a los Héroes de la Independencia,0.626817446,Sevilla,1.113957035
23686316,79822,1,1,0,Guerrero,Cuauhtémoc,6300,19.4382,-99.14277,2,1,1,1,550,0,400,1,0,29,20/7/18,6/7/19,100,0,0,0,0,0,0,1,0,0,0,0,0,0,11.86061315,1,6.309918278,Alameda Central,0.30663559,Bellas Artes_1_2,0.279478877
23686439,79851,0,1,0,Colonia Cuauhtémoc,Cuauhtémoc,6500,19.42617,-99.17411,1,1,1,0,398,0,95,1,150,47,11/4/18,16/5/19,96,1,0,0,0,0,0,0,1,1,0,0,0,0,15.14610156,0,5.986452005,Monumento a los Héroes de la Independencia,0.675321035,Sevilla,0.591848727
23687298,79886,0,2,0,Tlateloco,Cuauhtémoc,6300,19.45203,-99.13983,5,1,2,4,493,0,0,5,0,18,15/4/18,6/7/19,96,1,0,1,0,0,0,1,1,1,0,0,0,0,15.01468203,1,6.200509174,Plaza de las tres culturas,0.236330849,Tlatelolco_1,0.490234909
23703856,79892,1,2,0,Xoco,Benito Juárez,3330,19.36095,-99.16412,3,2,2,2,1157,0,0,2,0,26,17/6/18,14/7/19,99,1,0,1,0,1,0,1,1,1,1,1,0,1,12.94482433,1,7.053585727,Cineteca Nacional,0.084248047,Coyoacán,0.678215153
23715103,79935,0,2,1,Polanco,Miguel Hidalgo,11550,19.43365,-99.198,6,1.5,3,3,2201,2000,600,4,0,81,15/3/18,10/7/19,94,0,0,1,0,0,0,1,1,1,0,0,0,0,16.03318343,1,7.696667082,Polanco,0.25379599,Polanco,0.755844779
23716074,79952,0,2,0,Santa Cruz Atoyac,Benito Juárez,3310,19.36627,-99.16225,4,2.5,2,2,3510,50235,569,4,0,10,15/4/18,23/6/19,88,1,0,1,0,1,0,1,1,1,1,1,0,0,15.01468203,1,8.163371316,Cineteca Nacional,0.678143023,Zapata,0.552124293
23717707,79997,1,2,0,Juárez,Cuauhtémoc,6600,19.42872,-99.15274,4,2,2,3,968,0,250,5,200,53,25/5/18,21/5/19,97,1,1,1,0,1,0,1,1,1,1,0,0,0,13.70048666,1,6.875232087,Arena México,0.482067648,Cuauhtémoc_1_2,0.389460035
